,Nose 1:,,,,,instrament offset D: ,-0.066,,,
,,,,,,instrament offset L:,-0.362,,,
RPM,Fan Speed(%),Measured Lift,Measured Drag,Drag Force,Pressure:,Wind Velocity,,,,
519,14.8,-0.363,-0.073,-0.007,0.11,0.6875,,temperature,70,70 f
896,25,-0.372,-0.085,-0.019,0.38,1.2778,,humidity,26.6,
1243,35.3,-0.385,-0.103,-0.037,0.77,1.819049861,,density:,1.199,
1587,45.2,-0.393,-0.127,-0.061,1.31,2.372,,,,
1914,54.9,-0.39,-0.157,-0.091,1.94,2.887,,,,
2269,65,-0.41,-0.193,-0.127,2.76,3.4439,,,,
2579,74.6,-0.38,-0.22,-0.154,3.67,3.972,,,,
2927,85.2,-0.38,0.269,0.335,4.74,4.513,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Nose 2:,,,,,instrament offset D: ,-0.054,,,
,,,,,,instrament offset L:,0.344,,,
rpm,Fan Speed(%),Measured Lift,Measured Drag,Drag Force,Pressure:,Wind Speed,,,,
527,15,-0.349,-0.058,-0.005,0.13,0.747,,temperature,70.7,
701,20,-0.345,-0.059,-0.007,0.22,0.972,,humidity,25.8,
895,25.2,0.353,-0.061,-0.01,0.38,1.2787,,density:,1.1979,
1068,30.3,-0.36,-0.064,-0.014,0.55,1.538,,,,
1243,35.3,-0.366,-0.068,-0.018,0.77,1.8202,,,,
1415,40.3,-0.368,-0.072,-0.023,1.01,2.084,,,,
1588,45.3,-0.37,-0.077,-0.028,1.29,2.356,,,,
1758,50.3,-0.37,-0.082,-0.034,1.61,2.632,,,,
1923,55.1,-0.36,-0.088,0.054,1.96,2.904,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Nose 3:,,,,,instrament offset D: ,-0.057,,,
,,,,,,instrament offset L:,-0.348,,,
rpm,Fan Speed(%),Measured Lift,Measured Drag,Drag Force,Pressure:,Wind Speed,,,,
528,15,-0.355,-0.057,0,0.12,0.718,,temperature,71.2,
719,20,-0.356,-0.06,-0.003,0.24,1.016,,humidity,25.8,
876,24.8,-0.366,-0.063,-0.006,0.36,1.2446,,density,1.197,
1065,30.2,-0.37,-0.066,-0.009,0.56,1.5523,,,,
1241,353,-0.379,-0.07,-0.013,0.77,1.8202,,,,
1393,39.7,-0.389,-0.073,-0.016,0.98,2.053,,,,
1573,44.9,-0.385,-0.079,-0.022,1.28,2.34,,,,
1759,50.3,-0.39,-0.084,-0.027,1.62,2.64,,,,
1918,55,-0.375,-0.091,-0.034,1.94,2.8892,,,,